Symbol,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split-Ratio,Adj-Open,Adj-High,Adj-Low,Adj-Close,Adj-Volume
A,1999-11-18,45.5,50.0,40.0,44.0,44739900.0,0.0,1.0,43.471809559155,47.771219295775,38.21697543662,42.038672980282,44739900.0
A,1999-11-19,42.94,43.0,39.81,40.38,10897100.0,0.0,1.0,41.025923131212,41.083248594367,38.035444803296,38.580036703268,10897100.0
A,1999-11-22,41.31,44.0,40.06,44.0,4705200.0,0.0,1.0,39.468581382169,42.038672980282,38.274300899775,42.038672980282,4705200.0
A,1999-11-23,42.5,43.63,40.25,40.25,4274400.0,0.0,1.0,40.605536401409,41.685165957493,38.455831533099,38.455831533099,4274400.0
A,1999-11-24,40.13,41.94,40.0,41.06,3464400.0,0.0,1.0,38.341180606789,40.070498745296,38.21697543662,39.22972528569,3464400.0
A,1999-11-26,40.88,41.5,40.75,41.19,1237100.0,0.0,1.0,39.057748896226,39.650112015493,38.933543726057,39.353930455859,1237100.0
A,1999-11-29,41.0,42.44,40.56,42.13,2914700.0,0.0,1.0,39.172399822536,40.548210938254,38.752013092733,40.25202937862,2914700.0
A,1999-11-30,42.0,42.94,40.94,42.19,3083000.0,0.0,1.0,40.127824208451,41.025923131212,39.115074359381,40.309354841775,3083000.0
A,1999-12-01,42.19,43.44,41.88,42.94,2115400.0,0.0,1.0,40.309354841775,41.503635324169,40.013173282141,41.025923131212,2115400.0
A,1999-12-02,43.75,45.0,43.19,44.13,2195900.0,0.0,1.0,41.799816883803,42.994097366198,41.26477922769,42.162878150451,2195900.0
A,1999-12-03,44.94,45.69,44.31,44.5,2175700.0,0.0,1.0,42.936771903043,43.653340192479,42.334854539916,42.51638517324,2175700.0
A,1999-12-06,45.25,46.44,45.19,45.75,1610000.0,0.0,1.0,43.232953462676,44.369908481916,43.175627999521,43.710665655634,1610000.0
A,1999-12-07,45.75,46.0,44.31,45.25,1585100.0,0.0,1.0,43.710665655634,43.949521752113,42.334854539916,43.232953462676,1585100.0
A,1999-12-08,45.25,45.63,44.81,45.19,1350400.0,0.0,1.0,43.232953462676,43.596014729324,42.812566732874,43.175627999521,1350400.0
A,1999-12-09,45.25,45.94,45.25,45.81,1451400.0,0.0,1.0,43.232953462676,43.892196288958,43.232953462676,43.767991118789,1451400.0
A,1999-12-10,45.69,45.94,44.75,44.75,1190800.0,0.0,1.0,43.653340192479,43.892196288958,42.755241269719,42.755241269719,1190800.0
A,1999-12-13,45.5,46.25,44.38,45.5,2875900.0,0.0,1.0,43.471809559155,44.188377848592,42.40173424693,43.471809559155,2875900.0
A,1999-12-14,45.38,45.38,42.06,43.0,1665900.0,0.0,1.0,43.357158632845,43.357158632845,40.185149671606,41.083248594367,1665900.0
A,1999-12-15,42.0,42.31,41.0,41.69,2087100.0,0.0,1.0,40.127824208451,40.424005768085,39.172399822536,39.831642648817,2087100.0
A,1999-12-16,42.0,48.0,42.0,47.25,1848300.0,0.0,1.0,40.127824208451,45.860370523944,40.127824208451,45.143802234507,1848300.0
A,1999-12-17,46.38,47.12,45.44,45.94,2652400.0,0.0,1.0,44.312583018761,45.019597064338,43.414484096,43.892196288958,2652400.0
A,1999-12-20,46.25,46.94,46.13,46.88,856100.0,0.0,1.0,44.188377848592,44.847620674874,44.073726922282,44.790295211719,856100.0
A,1999-12-21,46.69,46.69,46.0,46.63,1616200.0,0.0,1.0,44.608764578395,44.608764578395,43.949521752113,44.55143911524,1616200.0
A,1999-12-22,46.63,47.56,46.31,47.56,1363200.0,0.0,1.0,44.55143911524,45.439983794141,44.245703311747,45.439983794141,1363200.0
A,1999-12-23,47.5,50.0,47.44,49.75,1544700.0,0.0,1.0,45.382658330986,47.771219295775,45.325332867831,47.532363199296,1544700.0
A,1999-12-27,49.94,53.19,49.56,52.81,1451800.0,0.0,1.0,47.71389383262,50.819023086845,47.350832565972,50.455961820198,1451800.0
A,1999-12-28,54.25,61.5,53.94,61.5,2546500.0,0.0,1.0,51.831772935916,58.758599733803,51.535591376282,58.758599733803,2546500.0
A,1999-12-29,63.0,79.06,62.94,72.0,7524000.0,0.0,1.0,60.191736312677,75.535851950479,60.134410849522,68.790555785916,7524000.0
